sampler,fold,Base,ic.h_max,ic.eps_s,ic.eps_max,ic.eps_ration,ic.m0
Latin Hypercube (hc),38,0.98125,0.9822916666666667,0.9385416666666667,0.9833333333333333,0.9677083333333333,0.98125
Latin Hypercube (hc),39,0.9854166666666667,0.9854166666666667,0.9260416666666667,0.9833333333333333,0.96875,0.9760416666666667
Latin Hypercube (hc),40,0.9822916666666667,0.9822916666666667,0.9375,0.9802083333333333,0.96875,0.9791666666666666
Latin Hypercube (hc),41,0.98125,0.9760416666666667,0.9447916666666667,0.9729166666666667,0.9677083333333333,0.98125
Latin Hypercube (hc),42,0.990625,0.984375,0.9427083333333334,0.9885416666666667,0.9739583333333334,0.9854166666666667
Latin Hypercube (hc),43,0.9822916666666667,0.9802083333333333,0.9375,0.9791666666666666,0.965625,0.9833333333333333
Latin Hypercube (hc),44,0.9802083333333333,0.9802083333333333,0.9385416666666667,0.9760416666666667,0.9760416666666667,0.9760416666666667
Latin Hypercube (hc),45,0.9854166666666667,0.9854166666666667,0.9489583333333333,0.9791666666666666,0.9697916666666667,0.9822916666666667
Latin Hypercube (hc),46,0.9875,0.9802083333333333,0.9260416666666667,0.984375,0.9770833333333333,0.98125
Latin Hypercube (hc),47,0.9885416666666667,0.990625,0.9385416666666667,0.984375,0.9770833333333333,0.9760416666666667
Latin Hypercube (hc),48,0.9875,0.98125,0.9291666666666667,0.9822916666666667,0.975,0.9802083333333333
Latin Hypercube (hc),49,0.990625,0.9864583333333333,0.9520833333333333,0.9875,0.978125,0.98125
Latin Hypercube (hc),50,0.9822916666666667,0.975,0.9354166666666667,0.9760416666666667,0.9645833333333333,0.975
Latin Hypercube (hc),51,0.9885416666666667,0.9822916666666667,0.9395833333333333,0.984375,0.975,0.9895833333333334
Latin Hypercube (hc),52,0.990625,0.98125,0.9583333333333334,0.9916666666666667,0.9802083333333333,0.98125
Latin Hypercube (hc),53,0.9833333333333333,0.984375,0.9447916666666667,0.978125,0.959375,0.9791666666666666
Latin Hypercube (hc),54,0.9802083333333333,0.9791666666666666,0.9291666666666667,0.978125,0.96875,0.9770833333333333
Latin Hypercube (hc),55,0.9854166666666667,0.9791666666666666,0.9520833333333333,0.978125,0.9760416666666667,0.9833333333333333
Latin Hypercube (hc),56,0.9875,0.9822916666666667,0.9333333333333333,0.98125,0.9708333333333333,0.9791666666666666
Latin Hypercube (hc),57,0.9854166666666667,0.9802083333333333,0.94375,0.984375,0.971875,0.98125
Latin Hypercube (hc),58,0.9875,0.9885416666666667,0.9427083333333334,0.9864583333333333,0.978125,0.984375
Latin Hypercube (hc),59,0.9708333333333333,0.9677083333333333,0.9333333333333333,0.96875,0.9614583333333333,0.9770833333333333
Latin Hypercube (nn),0,0.9864583333333333,0.9885416666666667,0.9322916666666666,0.984375,0.9739583333333334,0.98125
Latin Hypercube (nn),1,0.975,0.978125,0.915625,0.9739583333333334,0.9708333333333333,0.9760416666666667
Latin Hypercube (nn),2,0.9875,0.9875,0.9427083333333334,0.9854166666666667,0.9791666666666666,0.9895833333333334
Latin Hypercube (nn),3,0.978125,0.978125,0.9375,0.9770833333333333,0.9739583333333334,0.9822916666666667
Latin Hypercube (nn),4,0.978125,0.9854166666666667,0.921875,0.9802083333333333,0.9729166666666667,0.9770833333333333
Latin Hypercube (nn),5,0.9854166666666667,0.9822916666666667,0.9270833333333334,0.9791666666666666,0.9729166666666667,0.9760416666666667
Latin Hypercube (nn),6,0.9854166666666667,0.9854166666666667,0.9375,0.9822916666666667,0.9822916666666667,0.9854166666666667
Latin Hypercube (nn),7,0.9760416666666667,0.9770833333333333,0.9229166666666667,0.965625,0.965625,0.9760416666666667
Latin Hypercube (nn),8,0.98125,0.98125,0.9125,0.9760416666666667,0.975,0.9791666666666666
Latin Hypercube (nn),9,0.9760416666666667,0.9833333333333333,0.9239583333333333,0.9708333333333333,0.9729166666666667,0.975
Latin Hypercube (nn),10,0.9854166666666667,0.984375,0.928125,0.9864583333333333,0.978125,0.984375
Latin Hypercube (nn),11,0.9864583333333333,0.9875,0.940625,0.98125,0.975,0.984375
