sampler,fold,Base,ic.h_max,ic.eps_s,ic.eps_max,ic.eps_ration,ic.m0
Latin Hypercube (hc),35,0.9864583333333333,0.89375,0.45416666666666666,0.8916666666666667,0.78125,0.8604166666666667
Latin Hypercube (hc),36,0.9854166666666667,0.884375,0.44479166666666664,0.9239583333333333,0.7552083333333334,0.8552083333333333
Latin Hypercube (hc),37,0.9854166666666667,0.9114583333333334,0.440625,0.9125,0.7447916666666666,0.8697916666666666
Latin Hypercube (hc),38,0.9833333333333333,0.9083333333333333,0.5375,0.903125,0.7770833333333333,0.878125
Latin Hypercube (hc),39,0.984375,0.8791666666666667,0.4739583333333333,0.8375,0.80625,0.859375
Latin Hypercube (hc),40,0.9854166666666667,0.9072916666666667,0.453125,0.928125,0.7625,0.8625
Latin Hypercube (hc),41,0.9864583333333333,0.9,0.45,0.9197916666666667,0.765625,0.8645833333333334
Latin Hypercube (hc),42,0.9770833333333333,0.8989583333333333,0.48020833333333335,0.8885416666666667,0.8010416666666667,0.8447916666666667
Latin Hypercube (hc),43,0.9875,0.8979166666666667,0.490625,0.8958333333333334,0.7729166666666667,0.8635416666666667
Latin Hypercube (hc),44,0.9770833333333333,0.9,0.46979166666666666,0.909375,0.76875,0.8635416666666667
Latin Hypercube (hc),45,0.9854166666666667,0.890625,0.46875,0.940625,0.7041666666666667,0.8770833333333333
Latin Hypercube (hc),46,0.9802083333333333,0.896875,0.4739583333333333,0.93125,0.75,0.86875
Latin Hypercube (hc),47,0.9864583333333333,0.9041666666666667,0.46458333333333335,0.8916666666666667,0.8125,0.85
Latin Hypercube (hc),48,0.9822916666666667,0.8895833333333333,0.446875,0.9270833333333334,0.7479166666666667,0.859375
Latin Hypercube (hc),49,0.9864583333333333,0.890625,0.43333333333333335,0.8739583333333333,0.7864583333333334,0.8604166666666667
Latin Hypercube (hc),50,0.9822916666666667,0.9041666666666667,0.4625,0.9041666666666667,0.7854166666666667,0.859375
Latin Hypercube (hc),51,0.9895833333333334,0.8989583333333333,0.4791666666666667,0.9010416666666666,0.778125,0.8697916666666666
Latin Hypercube (hc),52,0.9864583333333333,0.8979166666666667,0.4635416666666667,0.915625,0.7260416666666667,0.8739583333333333
Latin Hypercube (hc),53,0.9791666666666666,0.8927083333333333,0.46979166666666666,0.8875,0.7802083333333333,0.8583333333333333
Latin Hypercube (hc),54,0.984375,0.89375,0.4354166666666667,0.89375,0.7989583333333333,0.8677083333333333
Latin Hypercube (hc),55,0.9822916666666667,0.89375,0.48125,0.878125,0.8041666666666667,0.8833333333333333
Latin Hypercube (hc),56,0.984375,0.9,0.42604166666666665,0.90625,0.7760416666666666,0.8645833333333334
Latin Hypercube (hc),57,0.9802083333333333,0.8895833333333333,0.471875,0.94375,0.7260416666666667,0.859375
Latin Hypercube (hc),58,0.9885416666666667,0.9,0.4583333333333333,0.925,0.775,0.871875
Latin Hypercube (hc),59,0.9854166666666667,0.8854166666666666,0.5,0.9208333333333333,0.6989583333333333,0.8458333333333333
Latin Hypercube (nn),0,0.9864583333333333,0.9208333333333333,0.490625,0.8895833333333333,0.8885416666666667,0.7645833333333333
