,sampler,feature_set,dimension,sample_size,classifier,accuracy,number_of_nan_rows,nan_test_idx
135,Latin Hypercube,ela_meta,5,1000,knn,0.5416666666666666,0,"Int64Index([], dtype='int64', name='test_id')"
136,Random walk,ela_meta,5,1000,knn,0.3611111111111111,0,"Int64Index([], dtype='int64', name='test_id')"
137,Hilbert curve,ela_meta,5,1000,knn,0.5138888888888888,0,"Int64Index([], dtype='int64', name='test_id')"
138,Latin Hypercube,ela_meta,10,1000,knn,0.6111111111111112,0,"Int64Index([], dtype='int64', name='test_id')"
139,Random walk,ela_meta,10,1000,knn,0.3888888888888889,0,"Int64Index([], dtype='int64', name='test_id')"
140,Hilbert curve,ela_meta,10,1000,knn,0.6944444444444444,0,"Int64Index([], dtype='int64', name='test_id')"
141,Latin Hypercube,ela_meta,20,1000,knn,0.6666666666666666,0,"Int64Index([], dtype='int64', name='test_id')"
142,Random walk,ela_meta,20,1000,knn,0.2777777777777778,0,"Int64Index([], dtype='int64', name='test_id')"
143,Hilbert curve,ela_meta,20,1000,knn,0.7083333333333334,0,"Int64Index([], dtype='int64', name='test_id')"
144,Latin Hypercube,ic,2,100,dtree,0.6388888888888888,0,"Int64Index([], dtype='int64', name='test_id')"
145,Random walk,ic,2,100,dtree,0.625,0,"Int64Index([], dtype='int64', name='test_id')"
146,Hilbert curve,ic,2,100,dtree,0.6944444444444444,0,"Int64Index([], dtype='int64', name='test_id')"
147,Latin Hypercube,ic,5,100,dtree,0.7361111111111112,0,"Int64Index([], dtype='int64', name='test_id')"
148,Random walk,ic,5,100,dtree,0.6111111111111112,0,"Int64Index([], dtype='int64', name='test_id')"
149,Hilbert curve,ic,5,100,dtree,0.7916666666666666,0,"Int64Index([], dtype='int64', name='test_id')"
150,Latin Hypercube,ic,10,100,dtree,0.8055555555555556,0,"Int64Index([], dtype='int64', name='test_id')"
151,Random walk,ic,10,100,dtree,0.7361111111111112,0,"Int64Index([], dtype='int64', name='test_id')"
152,Hilbert curve,ic,10,100,dtree,0.8611111111111112,0,"Int64Index([], dtype='int64', name='test_id')"
153,Latin Hypercube,ic,20,100,dtree,0.8055555555555556,0,"Int64Index([], dtype='int64', name='test_id')"
154,Random walk,ic,20,100,dtree,0.7916666666666666,0,"Int64Index([], dtype='int64', name='test_id')"
155,Hilbert curve,ic,20,100,dtree,0.8611111111111112,0,"Int64Index([], dtype='int64', name='test_id')"
156,Latin Hypercube,ic,2,100,knn,0.5694444444444444,0,"Int64Index([], dtype='int64', name='test_id')"
157,Random walk,ic,2,100,knn,0.5277777777777778,0,"Int64Index([], dtype='int64', name='test_id')"
158,Hilbert curve,ic,2,100,knn,0.5694444444444444,0,"Int64Index([], dtype='int64', name='test_id')"
159,Latin Hypercube,ic,5,100,knn,0.5833333333333334,0,"Int64Index([], dtype='int64', name='test_id')"
160,Random walk,ic,5,100,knn,0.5138888888888888,0,"Int64Index([], dtype='int64', name='test_id')"
161,Hilbert curve,ic,5,100,knn,0.4722222222222222,0,"Int64Index([], dtype='int64', name='test_id')"
162,Latin Hypercube,ic,10,100,knn,0.7083333333333334,0,"Int64Index([], dtype='int64', name='test_id')"
163,Random walk,ic,10,100,knn,0.6388888888888888,0,"Int64Index([], dtype='int64', name='test_id')"
164,Hilbert curve,ic,10,100,knn,0.5416666666666666,0,"Int64Index([], dtype='int64', name='test_id')"
165,Latin Hypercube,ic,20,100,knn,0.8055555555555556,0,"Int64Index([], dtype='int64', name='test_id')"
166,Random walk,ic,20,100,knn,0.7361111111111112,0,"Int64Index([], dtype='int64', name='test_id')"
167,Hilbert curve,ic,20,100,knn,0.5833333333333334,0,"Int64Index([], dtype='int64', name='test_id')"
168,Latin Hypercube,ic,2,1000,dtree,0.8055555555555556,0,"Int64Index([], dtype='int64', name='test_id')"
169,Random walk,ic,2,1000,dtree,0.625,0,"Int64Index([], dtype='int64', name='test_id')"
170,Hilbert curve,ic,2,1000,dtree,0.8055555555555556,0,"Int64Index([], dtype='int64', name='test_id')"
171,Latin Hypercube,ic,5,1000,dtree,0.9444444444444444,0,"Int64Index([], dtype='int64', name='test_id')"
172,Random walk,ic,5,1000,dtree,0.7777777777777778,0,"Int64Index([], dtype='int64', name='test_id')"
173,Hilbert curve,ic,5,1000,dtree,0.8194444444444444,0,"Int64Index([], dtype='int64', name='test_id')"
174,Latin Hypercube,ic,10,1000,dtree,0.8611111111111112,0,"Int64Index([], dtype='int64', name='test_id')"
175,Random walk,ic,10,1000,dtree,0.8194444444444444,0,"Int64Index([], dtype='int64', name='test_id')"
176,Hilbert curve,ic,10,1000,dtree,0.8333333333333334,0,"Int64Index([], dtype='int64', name='test_id')"
177,Latin Hypercube,ic,20,1000,dtree,0.8888888888888888,0,"Int64Index([], dtype='int64', name='test_id')"
178,Random walk,ic,20,1000,dtree,0.8472222222222222,0,"Int64Index([], dtype='int64', name='test_id')"
179,Hilbert curve,ic,20,1000,dtree,0.8472222222222222,0,"Int64Index([], dtype='int64', name='test_id')"
180,Latin Hypercube,ic,2,1000,knn,0.7361111111111112,0,"Int64Index([], dtype='int64', name='test_id')"
181,Random walk,ic,2,1000,knn,0.6805555555555556,0,"Int64Index([], dtype='int64', name='test_id')"
182,Hilbert curve,ic,2,1000,knn,0.75,0,"Int64Index([], dtype='int64', name='test_id')"
183,Latin Hypercube,ic,5,1000,knn,0.8333333333333334,0,"Int64Index([], dtype='int64', name='test_id')"
184,Random walk,ic,5,1000,knn,0.75,0,"Int64Index([], dtype='int64', name='test_id')"
185,Hilbert curve,ic,5,1000,knn,0.6805555555555556,0,"Int64Index([], dtype='int64', name='test_id')"
186,Latin Hypercube,ic,10,1000,knn,0.8194444444444444,0,"Int64Index([], dtype='int64', name='test_id')"
187,Random walk,ic,10,1000,knn,0.8194444444444444,0,"Int64Index([], dtype='int64', name='test_id')"
188,Hilbert curve,ic,10,1000,knn,0.6944444444444444,0,"Int64Index([], dtype='int64', name='test_id')"
189,Latin Hypercube,ic,20,1000,knn,0.8888888888888888,0,"Int64Index([], dtype='int64', name='test_id')"
190,Random walk,ic,20,1000,knn,0.8055555555555556,0,"Int64Index([], dtype='int64', name='test_id')"
191,Hilbert curve,ic,20,1000,knn,0.6666666666666666,0,"Int64Index([], dtype='int64', name='test_id')"
