,sampler,feature_set,dimension,sample_size,classifier,accuracy,number_of_nan_rows,nan_test_idx
250,Random walk,ic,20,100,rfc,0.7916666666666666,0,"Int64Index([], dtype='int64', name='test_id')"
251,Hilbert curve,ic,20,100,rfc,0.8888888888888888,0,"Int64Index([], dtype='int64', name='test_id')"
252,Latin Hypercube,ic,2,1000,dtree,0.7222222222222222,0,"Int64Index([], dtype='int64', name='test_id')"
253,Random walk,ic,2,1000,dtree,0.6111111111111112,0,"Int64Index([], dtype='int64', name='test_id')"
254,Hilbert curve,ic,2,1000,dtree,0.7777777777777778,0,"Int64Index([], dtype='int64', name='test_id')"
255,Latin Hypercube,ic,5,1000,dtree,0.7916666666666666,0,"Int64Index([], dtype='int64', name='test_id')"
256,Random walk,ic,5,1000,dtree,0.6944444444444444,0,"Int64Index([], dtype='int64', name='test_id')"
257,Hilbert curve,ic,5,1000,dtree,0.875,0,"Int64Index([], dtype='int64', name='test_id')"
258,Latin Hypercube,ic,10,1000,dtree,0.9027777777777778,0,"Int64Index([], dtype='int64', name='test_id')"
259,Random walk,ic,10,1000,dtree,0.8333333333333334,0,"Int64Index([], dtype='int64', name='test_id')"
260,Hilbert curve,ic,10,1000,dtree,0.8888888888888888,0,"Int64Index([], dtype='int64', name='test_id')"
261,Latin Hypercube,ic,20,1000,dtree,0.9305555555555556,0,"Int64Index([], dtype='int64', name='test_id')"
262,Random walk,ic,20,1000,dtree,0.9166666666666666,0,"Int64Index([], dtype='int64', name='test_id')"
263,Hilbert curve,ic,20,1000,dtree,0.875,0,"Int64Index([], dtype='int64', name='test_id')"
264,Latin Hypercube,ic,2,1000,knn,0.8055555555555556,0,"Int64Index([], dtype='int64', name='test_id')"
265,Random walk,ic,2,1000,knn,0.6527777777777778,0,"Int64Index([], dtype='int64', name='test_id')"
266,Hilbert curve,ic,2,1000,knn,0.8194444444444444,0,"Int64Index([], dtype='int64', name='test_id')"
267,Latin Hypercube,ic,5,1000,knn,0.8472222222222222,0,"Int64Index([], dtype='int64', name='test_id')"
268,Random walk,ic,5,1000,knn,0.7222222222222222,0,"Int64Index([], dtype='int64', name='test_id')"
269,Hilbert curve,ic,5,1000,knn,0.6111111111111112,0,"Int64Index([], dtype='int64', name='test_id')"
270,Latin Hypercube,ic,10,1000,knn,0.875,0,"Int64Index([], dtype='int64', name='test_id')"
271,Random walk,ic,10,1000,knn,0.8055555555555556,0,"Int64Index([], dtype='int64', name='test_id')"
272,Hilbert curve,ic,10,1000,knn,0.6527777777777778,0,"Int64Index([], dtype='int64', name='test_id')"
273,Latin Hypercube,ic,20,1000,knn,0.8194444444444444,0,"Int64Index([], dtype='int64', name='test_id')"
274,Random walk,ic,20,1000,knn,0.8055555555555556,0,"Int64Index([], dtype='int64', name='test_id')"
275,Hilbert curve,ic,20,1000,knn,0.7222222222222222,0,"Int64Index([], dtype='int64', name='test_id')"
276,Latin Hypercube,ic,2,1000,rfc,0.8472222222222222,0,"Int64Index([], dtype='int64', name='test_id')"
277,Random walk,ic,2,1000,rfc,0.6388888888888888,0,"Int64Index([], dtype='int64', name='test_id')"
278,Hilbert curve,ic,2,1000,rfc,0.8333333333333334,0,"Int64Index([], dtype='int64', name='test_id')"
279,Latin Hypercube,ic,5,1000,rfc,0.8472222222222222,0,"Int64Index([], dtype='int64', name='test_id')"
280,Random walk,ic,5,1000,rfc,0.7638888888888888,0,"Int64Index([], dtype='int64', name='test_id')"
281,Hilbert curve,ic,5,1000,rfc,0.9027777777777778,0,"Int64Index([], dtype='int64', name='test_id')"
282,Latin Hypercube,ic,10,1000,rfc,0.9583333333333334,0,"Int64Index([], dtype='int64', name='test_id')"
283,Random walk,ic,10,1000,rfc,0.8333333333333334,0,"Int64Index([], dtype='int64', name='test_id')"
284,Hilbert curve,ic,10,1000,rfc,0.9583333333333334,0,"Int64Index([], dtype='int64', name='test_id')"
285,Latin Hypercube,ic,20,1000,rfc,0.9027777777777778,0,"Int64Index([], dtype='int64', name='test_id')"
286,Random walk,ic,20,1000,rfc,0.9027777777777778,0,"Int64Index([], dtype='int64', name='test_id')"
287,Hilbert curve,ic,20,1000,rfc,0.875,0,"Int64Index([], dtype='int64', name='test_id')"
