run,dimensions,sample_n,sampler,dh
3,20,1000,Hilbert curve 0.1,8.770149658222829
3,20,1000,Hilbert curve 0.3,8.302878761122413
3,20,1000,Hilbert curve 0.5,8.20592817692413
4,5,100,Latin Hypercube,2.0518963948414473
4,5,100,Random walk,3.8663598113385342
4,5,100,Hilbert curve 0.1,2.1678284758288062
4,5,100,Hilbert curve 0.3,2.0399019901020634
4,5,100,Hilbert curve 0.5,2.1096340621424434
4,5,316,Latin Hypercube,1.6324213408064179
4,5,316,Random walk,4.166627503317947
4,5,316,Hilbert curve 0.1,1.6830547221602155
4,5,316,Hilbert curve 0.3,1.6053886448127253
4,5,316,Hilbert curve 0.5,1.6775429468638052
4,5,1000,Latin Hypercube,1.2673076836445996
4,5,1000,Random walk,3.57119110876661
4,5,1000,Hilbert curve 0.1,1.3067703715982633
4,5,1000,Hilbert curve 0.3,1.2699607067493184
4,5,1000,Hilbert curve 0.5,1.3981641685470703
4,10,100,Latin Hypercube,5.063117829197225
4,10,100,Random walk,7.485738085400704
4,10,100,Hilbert curve 0.1,5.215135516458904
4,10,100,Hilbert curve 0.3,4.952885056456396
4,10,100,Hilbert curve 0.5,4.926556296930304
4,10,316,Latin Hypercube,4.410163023902312
4,10,316,Random walk,8.20984004679841
4,10,316,Hilbert curve 0.1,4.584898553491805
4,10,316,Hilbert curve 0.3,4.357241934734376
4,10,316,Hilbert curve 0.5,4.345991180337595
4,10,1000,Latin Hypercube,3.883531884792533
4,10,1000,Random walk,7.8637388551629614
4,10,1000,Hilbert curve 0.1,3.9623296993012307
4,10,1000,Hilbert curve 0.3,3.8000017112303612
4,10,1000,Hilbert curve 0.5,3.877670613637348
4,20,100,Latin Hypercube,9.947798236975672
4,20,100,Random walk,12.649934743700804
4,20,100,Hilbert curve 0.1,10.27561871567896
4,20,100,Hilbert curve 0.3,9.658124068770478
4,20,100,Hilbert curve 0.5,9.484791376579098
4,20,316,Latin Hypercube,9.26267015052233
4,20,316,Random walk,12.795358759636391
4,20,316,Hilbert curve 0.1,9.518449695441085
4,20,316,Hilbert curve 0.3,8.927444430998136
4,20,316,Hilbert curve 0.5,8.773128317596054
4,20,1000,Latin Hypercube,8.600418079781745
4,20,1000,Random walk,12.559461451297615
4,20,1000,Hilbert curve 0.1,8.766530928932085
4,20,1000,Hilbert curve 0.3,8.288886139110106
4,20,1000,Hilbert curve 0.5,8.20535494924394
5,5,100,Latin Hypercube,2.1016729525144218
5,5,100,Random walk,3.7562297189362925
5,5,100,Hilbert curve 0.1,2.1928207415081205
5,5,100,Hilbert curve 0.3,1.9997163677800638
5,5,100,Hilbert curve 0.5,2.0678609907507965
5,5,316,Latin Hypercube,1.6168374403428047
5,5,316,Random walk,4.12898957696989
5,5,316,Hilbert curve 0.1,1.636911339905966
5,5,316,Hilbert curve 0.3,1.6011173843420041
5,5,316,Hilbert curve 0.5,1.6959291011050976
5,5,1000,Latin Hypercube,1.2661415547295145
5,5,1000,Random walk,3.2027672921803196
5,5,1000,Hilbert curve 0.1,1.2905280966402686
5,5,1000,Hilbert curve 0.3,1.266142215659277
5,5,1000,Hilbert curve 0.5,1.3860084267430899
5,10,100,Latin Hypercube,5.127925290993332
5,10,100,Random walk,8.084757658242227
5,10,100,Hilbert curve 0.1,5.28312687214017
5,10,100,Hilbert curve 0.3,4.974360014529495
5,10,100,Hilbert curve 0.5,4.931639030796701
5,10,316,Latin Hypercube,4.432295405646702
5,10,316,Random walk,7.191471819490823
5,10,316,Hilbert curve 0.1,4.544694874967216
5,10,316,Hilbert curve 0.3,4.341850800368746
5,10,316,Hilbert curve 0.5,4.360424747777176
5,10,1000,Latin Hypercube,3.8747169048246906
5,10,1000,Random walk,7.078099690105783
5,10,1000,Hilbert curve 0.1,3.956142275337517
5,10,1000,Hilbert curve 0.3,3.8186445771998185
5,10,1000,Hilbert curve 0.5,3.906046565892019
5,20,100,Latin Hypercube,9.935953143772858
5,20,100,Random walk,13.018980694541474
5,20,100,Hilbert curve 0.1,10.251393383623178
5,20,100,Hilbert curve 0.3,9.601596015466974
5,20,100,Hilbert curve 0.5,9.420087193805914
5,20,316,Latin Hypercube,9.231196694886552
5,20,316,Random walk,12.252691029217532
5,20,316,Hilbert curve 0.1,9.466263901898325
5,20,316,Hilbert curve 0.3,8.946880961653786
5,20,316,Hilbert curve 0.5,8.755098295028318
5,20,1000,Latin Hypercube,8.589581688526556
5,20,1000,Random walk,12.449350735680904
5,20,1000,Hilbert curve 0.1,8.76134250760295
5,20,1000,Hilbert curve 0.3,8.294811063912844
5,20,1000,Hilbert curve 0.5,8.206559469027841
6,5,100,Latin Hypercube,2.07269514935729
6,5,100,Random walk,4.0198829203994935
6,5,100,Hilbert curve 0.1,2.1796624747071274
6,5,100,Hilbert curve 0.3,2.0426184452082605
6,5,100,Hilbert curve 0.5,2.138591676157147
