test_id,repetition,function,sample_n,sampler,feature,value
588,4,12,100,"Latin Hypercube (nn)",sss.skew_p,2.00323144426228e-34
588,4,12,100,"Latin Hypercube (nn)",sss.weight.0,0.930304433420208
588,4,12,100,"Latin Hypercube (nn)",sss.weight.1,0.0696955665797918
588,4,12,100,"Latin Hypercube (nn)",sss.mean.0,0.0370902404980309
588,4,12,100,"Latin Hypercube (nn)",sss.mean.1,0.182873484927528
588,4,12,100,"Latin Hypercube (nn)",sss.cov.0,0.000333223962374841
588,4,12,100,"Latin Hypercube (nn)",sss.cov.1,0.0119224753030351
589,4,13,100,"Latin Hypercube (nn)",sss.mean,0.0482594632805348
589,4,13,100,"Latin Hypercube (nn)",sss.std,0.0453436580024168
589,4,13,100,"Latin Hypercube (nn)",sss.max,0.461315437311013
589,4,13,100,"Latin Hypercube (nn)",sss.skew,12.5401809757373
589,4,13,100,"Latin Hypercube (nn)",sss.skew_p,4.49966784851973e-36
589,4,13,100,"Latin Hypercube (nn)",sss.weight.0,0.865439544529489
589,4,13,100,"Latin Hypercube (nn)",sss.weight.1,0.134560455470511
589,4,13,100,"Latin Hypercube (nn)",sss.mean.0,0.0363606949943193
589,4,13,100,"Latin Hypercube (nn)",sss.mean.1,0.124787627294821
589,4,13,100,"Latin Hypercube (nn)",sss.cov.0,0.000242432300817371
589,4,13,100,"Latin Hypercube (nn)",sss.cov.1,0.00696078150739686
590,4,14,100,"Latin Hypercube (nn)",sss.mean,0.042920157070937
590,4,14,100,"Latin Hypercube (nn)",sss.std,0.0376757539921163
590,4,14,100,"Latin Hypercube (nn)",sss.max,0.345984818947823
590,4,14,100,"Latin Hypercube (nn)",sss.skew,11.5714017004952
590,4,14,100,"Latin Hypercube (nn)",sss.skew_p,5.75349412070913e-31
590,4,14,100,"Latin Hypercube (nn)",sss.weight.0,0.915384325121255
590,4,14,100,"Latin Hypercube (nn)",sss.weight.1,0.0846156748787452
590,4,14,100,"Latin Hypercube (nn)",sss.mean.0,0.0352567228646066
590,4,14,100,"Latin Hypercube (nn)",sss.mean.1,0.125824270985119
590,4,14,100,"Latin Hypercube (nn)",sss.cov.0,0.000327920880341149
590,4,14,100,"Latin Hypercube (nn)",sss.cov.1,0.0057313090442132
591,4,15,100,"Latin Hypercube (nn)",sss.mean,0.0476366530633629
591,4,15,100,"Latin Hypercube (nn)",sss.std,0.0547616163055745
591,4,15,100,"Latin Hypercube (nn)",sss.max,0.584342761849787
591,4,15,100,"Latin Hypercube (nn)",sss.skew,13.4439601302319
591,4,15,100,"Latin Hypercube (nn)",sss.skew_p,3.3406895452406e-41
591,4,15,100,"Latin Hypercube (nn)",sss.weight.0,0.895626705932457
591,4,15,100,"Latin Hypercube (nn)",sss.weight.1,0.104373294067543
591,4,15,100,"Latin Hypercube (nn)",sss.mean.0,0.0350656121388889
591,4,15,100,"Latin Hypercube (nn)",sss.mean.1,0.155508691345902
591,4,15,100,"Latin Hypercube (nn)",sss.cov.0,0.000259321509446263
591,4,15,100,"Latin Hypercube (nn)",sss.cov.1,0.013523723246164
592,4,16,100,"Latin Hypercube (nn)",sss.mean,0.0472418340673577
592,4,16,100,"Latin Hypercube (nn)",sss.std,0.0662120951485883
592,4,16,100,"Latin Hypercube (nn)",sss.max,0.611163278521296
592,4,16,100,"Latin Hypercube (nn)",sss.skew,14.0418113030023
592,4,16,100,"Latin Hypercube (nn)",sss.skew_p,8.64738659228672e-45
592,4,16,100,"Latin Hypercube (nn)",sss.weight.0,0.989949748743719
592,4,16,100,"Latin Hypercube (nn)",sss.weight.1,0.0100502512562814
592,4,16,100,"Latin Hypercube (nn)",sss.mean.0,0.0415197384813683
592,4,16,100,"Latin Hypercube (nn)",sss.mean.1,0.610868249287311
592,4,16,100,"Latin Hypercube (nn)",sss.cov.0,0.00117168209569508
592,4,16,100,"Latin Hypercube (nn)",sss.cov.1,1.08704224890519e-06
593,4,17,100,"Latin Hypercube (nn)",sss.mean,0.0467742192375184
593,4,17,100,"Latin Hypercube (nn)",sss.std,0.0513873451696877
593,4,17,100,"Latin Hypercube (nn)",sss.max,0.503645230159508
