run,dimensions,sample_n,sampler,dh
2,20,316,Hilbert curve 0.1,9.461901249952579
2,20,316,Hilbert curve 0.3,8.936893101788009
2,20,316,Hilbert curve 0.5,8.7699535562046
2,20,316,Hilbert curve 0.7,8.772910510748583
2,20,1000,Latin Hypercube,8.600063556285157
2,20,1000,Random walk,12.794354345108093
2,20,1000,Hilbert curve 0.1,8.754760749421017
2,20,1000,Hilbert curve 0.3,8.292637308813903
2,20,1000,Hilbert curve 0.5,8.20151229201591
2,20,1000,Hilbert curve 0.7,8.260523342694382
2,30,100,Latin Hypercube,13.848391616988948
2,30,100,Random walk,16.36573867124497
2,30,100,Hilbert curve 0.1,14.672181793356785
2,30,100,Hilbert curve 0.3,13.518594811468349
2,30,100,Hilbert curve 0.5,13.078267867634597
2,30,100,Hilbert curve 0.7,12.90026080382644
2,30,316,Latin Hypercube,13.137732498312733
2,30,316,Random walk,16.04064021951193
2,30,316,Hilbert curve 0.1,13.810343234489407
2,30,316,Hilbert curve 0.3,12.731570076306411
2,30,316,Hilbert curve 0.5,12.37176692846283
2,30,316,Hilbert curve 0.7,12.205572086031802
2,30,1000,Latin Hypercube,12.486432874358387
2,30,1000,Random walk,16.345733403947047
2,30,1000,Hilbert curve 0.1,13.030502228358602
2,30,1000,Hilbert curve 0.3,12.064385363014367
2,30,1000,Hilbert curve 0.5,11.74966885213769
2,30,1000,Hilbert curve 0.7,11.678055219619337
3,5,100,Latin Hypercube,2.066389667784601
3,5,100,Random walk,4.1958152899857595
3,5,100,Hilbert curve 0.1,2.1995812715975425
3,5,100,Hilbert curve 0.3,2.094093080426232
3,5,100,Hilbert curve 0.5,2.1106905740995763
3,5,100,Hilbert curve 0.7,2.171066880182756
3,5,316,Latin Hypercube,1.6200132581099689
3,5,316,Random walk,3.765527503857353
3,5,316,Hilbert curve 0.1,1.6941672023860168
3,5,316,Hilbert curve 0.3,1.6202735770758794
3,5,316,Hilbert curve 0.5,1.6720401468460853
3,5,316,Hilbert curve 0.7,1.7846811632757906
3,5,1000,Latin Hypercube,1.2682842850125595
3,5,1000,Random walk,3.7589710907399407
3,5,1000,Hilbert curve 0.1,1.292826466263067
3,5,1000,Hilbert curve 0.3,1.2751698730530343
3,5,1000,Hilbert curve 0.5,1.4018649986844216
