test_id,function,dimensions,sample_n,sampler,feature,value,n
60,12,5,100,Latin Hypercube (rnd),t.ic.calculate,0.560458900003141,500
61,13,5,100,Latin Hypercube (rnd),t.generation,0.00036729999919771217,500
61,13,5,100,Latin Hypercube (rnd),t.ic.calculate,0.4231485000018438,500
62,14,5,100,Latin Hypercube (rnd),t.generation,0.0003667999990284443,500
62,14,5,100,Latin Hypercube (rnd),t.ic.calculate,0.4042259000016202,500
63,15,5,100,Latin Hypercube (rnd),t.generation,0.0003612000000430271,500
63,15,5,100,Latin Hypercube (rnd),t.ic.calculate,0.42094920000090497,500
64,16,5,100,Latin Hypercube (rnd),t.generation,0.000370699999621138,500
64,16,5,100,Latin Hypercube (rnd),t.ic.calculate,0.39719809999951394,500
65,17,5,100,Latin Hypercube (rnd),t.generation,0.00036049999835086055,500
65,17,5,100,Latin Hypercube (rnd),t.ic.calculate,0.3862632999989728,500
66,18,5,100,Latin Hypercube (rnd),t.generation,0.00035199999911128543,500
66,18,5,100,Latin Hypercube (rnd),t.ic.calculate,0.39325520000056713,500
67,19,5,100,Latin Hypercube (rnd),t.generation,0.0003940999995393213,500
67,19,5,100,Latin Hypercube (rnd),t.ic.calculate,0.4011599000004935,500
68,20,5,100,Latin Hypercube (rnd),t.generation,0.00038069999936851673,500
68,20,5,100,Latin Hypercube (rnd),t.ic.calculate,0.465881600001012,500
69,21,5,100,Latin Hypercube (rnd),t.generation,0.00037680000241380185,500
69,21,5,100,Latin Hypercube (rnd),t.ic.calculate,0.37088650000077905,500
70,22,5,100,Latin Hypercube (rnd),t.generation,0.00045990000216988847,500
70,22,5,100,Latin Hypercube (rnd),t.ic.calculate,0.39682579999862355,500
71,23,5,100,Latin Hypercube (rnd),t.generation,0.000370699999621138,500
71,23,5,100,Latin Hypercube (rnd),t.ic.calculate,0.3658636000000115,500
72,24,5,100,Latin Hypercube (rnd),t.generation,0.00038670000139973126,500
72,24,5,100,Latin Hypercube (rnd),t.ic.calculate,0.40556999999898835,500
73,1,5,100,Hilbert Curve,t.generation,0.020963899998605484,500
73,1,5,100,Hilbert Curve,t.ic.calculate,0.3845261999995273,500
74,2,5,100,Hilbert Curve,t.generation,0.009826800000155345,500
74,2,5,100,Hilbert Curve,t.ic.calculate,0.5224601000008988,500
75,3,5,100,Hilbert Curve,t.generation,0.009531600000627805,500
75,3,5,100,Hilbert Curve,t.ic.calculate,0.3975555999968492,500
76,4,5,100,Hilbert Curve,t.generation,0.009650500000134343,500
76,4,5,100,Hilbert Curve,t.ic.calculate,0.42403270000068005,500
77,5,5,100,Hilbert Curve,t.generation,0.009469299999182113,500
77,5,5,100,Hilbert Curve,t.ic.calculate,0.3818895000003977,500
78,6,5,100,Hilbert Curve,t.generation,0.009657999999035383,500
78,6,5,100,Hilbert Curve,t.ic.calculate,0.4752096000011079,500
79,7,5,100,Hilbert Curve,t.generation,0.009569699999701697,500
79,7,5,100,Hilbert Curve,t.ic.calculate,0.42243389999930514,500
80,8,5,100,Hilbert Curve,t.generation,0.009575399999448564,500
80,8,5,100,Hilbert Curve,t.ic.calculate,0.46447620000253664,500
81,9,5,100,Hilbert Curve,t.generation,0.00983030000134022,500
81,9,5,100,Hilbert Curve,t.ic.calculate,0.4654408999995212,500
82,10,5,100,Hilbert Curve,t.generation,0.009618500000215136,500
82,10,5,100,Hilbert Curve,t.ic.calculate,0.5214426999991701,500
83,11,5,100,Hilbert Curve,t.generation,0.009777899998880457,500
83,11,5,100,Hilbert Curve,t.ic.calculate,0.5196277999966696,500
84,12,5,100,Hilbert Curve,t.generation,0.009822600000916282,500
84,12,5,100,Hilbert Curve,t.ic.calculate,0.5606956000010541,500
85,13,5,100,Hilbert Curve,t.generation,0.009817099999054335,500
85,13,5,100,Hilbert Curve,t.ic.calculate,0.4164859999982582,500
86,14,5,100,Hilbert Curve,t.generation,0.009620199998607859,500
86,14,5,100,Hilbert Curve,t.ic.calculate,0.40054679999957443,500
87,15,5,100,Hilbert Curve,t.generation,0.010106700003234437,500
87,15,5,100,Hilbert Curve,t.ic.calculate,0.40858529999968596,500
88,16,5,100,Hilbert Curve,t.generation,0.009884299997793278,500
88,16,5,100,Hilbert Curve,t.ic.calculate,0.4074478000002273,500
89,17,5,100,Hilbert Curve,t.generation,0.009450099998502992,500
89,17,5,100,Hilbert Curve,t.ic.calculate,0.3881148000000394,500
90,18,5,100,Hilbert Curve,t.generation,0.009663800003181677,500
90,18,5,100,Hilbert Curve,t.ic.calculate,0.3944721000007121,500
91,19,5,100,Hilbert Curve,t.generation,0.009461199999350356,500
91,19,5,100,Hilbert Curve,t.ic.calculate,0.38105629999699886,500
92,20,5,100,Hilbert Curve,t.generation,0.009669900002336362,500
92,20,5,100,Hilbert Curve,t.ic.calculate,0.4614718000011635,500
93,21,5,100,Hilbert Curve,t.generation,0.009647000002587447,500
93,21,5,100,Hilbert Curve,t.ic.calculate,0.3753748999988602,500
94,22,5,100,Hilbert Curve,t.generation,0.009837300000071991,500
94,22,5,100,Hilbert Curve,t.ic.calculate,0.38358100000186823,500
95,23,5,100,Hilbert Curve,t.generation,0.00999020000017481,500
95,23,5,100,Hilbert Curve,t.ic.calculate,0.3744336999989173,500
96,24,5,100,Hilbert Curve,t.generation,0.009821700001339195,500
96,24,5,100,Hilbert Curve,t.ic.calculate,0.3897112000013294,500
97,1,5,316,Latin Hypercube (nn),t.generation,0.0005219000013312325,1580
97,1,5,316,Latin Hypercube (nn),t.ic.calculate,1.0339305000015884,1580
98,2,5,316,Latin Hypercube (nn),t.generation,0.0005071999985375442,1580
98,2,5,316,Latin Hypercube (nn),t.ic.calculate,1.4566331999994873,1580
99,3,5,316,Latin Hypercube (nn),t.generation,0.000487600002088584,1580
99,3,5,316,Latin Hypercube (nn),t.ic.calculate,1.1044523999989906,1580
100,4,5,316,Latin Hypercube (nn),t.generation,0.00045509999836212955,1580
100,4,5,316,Latin Hypercube (nn),t.ic.calculate,1.2205643000015698,1580
101,5,5,316,Latin Hypercube (nn),t.generation,0.000525200000993209,1580
101,5,5,316,Latin Hypercube (nn),t.ic.calculate,1.0354111999986344,1580
102,6,5,316,Latin Hypercube (nn),t.generation,0.0006009999997331761,1580
102,6,5,316,Latin Hypercube (nn),t.ic.calculate,1.3351056999999855,1580
103,7,5,316,Latin Hypercube (nn),t.generation,0.00046949999887146987,1580
103,7,5,316,Latin Hypercube (nn),t.ic.calculate,1.1460149999984424,1580
104,8,5,316,Latin Hypercube (nn),t.generation,0.0005041000003984664,1580
104,8,5,316,Latin Hypercube (nn),t.ic.calculate,1.3161199999995006,1580
105,9,5,316,Latin Hypercube (nn),t.generation,0.000521500001923414,1580
